yourlist:M202109285BF3C56A578D7D6DFD1FC81EE5DA773020E3889	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q6J1H4	Q6J1H4	UTF1_MOUSE	reviewed	Undifferentiated embryonic cell transcription factor 1	Utf1	Mus musculus (Mouse)	339
P55200	P55200	KMT2A_MOUSE	reviewed	Histone-lysine N-methyltransferase 2A (Lysine N-methyltransferase 2A) (EC 2.1.1.354) (ALL-1) (Cysteine methyltransferase KMT2A) (EC 2.1.1.-) (Myeloid/lymphoid or mixed-lineage leukemia) (Myeloid/lymphoid or mixed-lineage leukemia protein 1) (Zinc finger protein HRX) [Cleaved into: MLL cleavage product N320 (N-terminal cleavage product of 320 kDa) (p320); MLL cleavage product C180 (C-terminal cleavage product of 180 kDa) (p180)]	Kmt2a All1 Hrx Mll Mll1	Mus musculus (Mouse)	3966
A2APF3	A2APF3	CTCFL_MOUSE	reviewed	Transcriptional repressor CTCFL (Brother of the regulator of imprinted sites) (CCCTC-binding factor) (CTCF paralog) (CTCF-like protein)	Ctcfl Boris	Mus musculus (Mouse)	636
A2A5K6	A2A5K6	ZN335_MOUSE	reviewed	Zinc finger protein 335 (NRC-interacting factor 1) (NIF-1)	Znf335 Zfp335	Mus musculus (Mouse)	1337
Q64287	Q64287	IRF4_MOUSE	reviewed	Interferon regulatory factor 4 (IRF-4) (Lymphocyte-specific interferon regulatory factor) (LSIRF) (NF-EM5) (PU.1 interaction partner) (Transcriptional activator PIP)	Irf4 Spip	Mus musculus (Mouse)	450
O35284	O35284	BATF_MOUSE	reviewed	Basic leucine zipper transcriptional factor ATF-like (B-cell-activating transcription factor) (B-ATF)	Batf	Mus musculus (Mouse)	125
Q07279	Q07279	NFE2_MOUSE	reviewed	Transcription factor NF-E2 45 kDa subunit (Leucine zipper protein NF-E2) (Nuclear factor, erythroid-derived 2 45 kDa subunit) (p45 NF-E2)	Nfe2	Mus musculus (Mouse)	373
Q9Z0S2	Q9Z0S2	LHX2_MOUSE	reviewed	LIM/homeobox protein Lhx2 (Homeobox protein LH-2) (LIM homeobox protein 2)	Lhx2	Mus musculus (Mouse)	406
Q924A0	Q924A0	TF7L2_MOUSE	reviewed	Transcription factor 7-like 2 (HMG box transcription factor 4) (T-cell-specific transcription factor 4) (T-cell factor 4) (TCF-4) (mTCF-4)	Tcf7l2 Tcf4	Mus musculus (Mouse)	459
P02340	P02340	P53_MOUSE	reviewed	Cellular tumor antigen p53 (Tumor suppressor p53)	Tp53 P53 Trp53	Mus musculus (Mouse)	390
P35582	P35582	FOXA1_MOUSE	reviewed	Hepatocyte nuclear factor 3-alpha (HNF-3-alpha) (HNF-3A) (Forkhead box protein A1)	Foxa1 Hnf3a Tcf-3a Tcf3a	Mus musculus (Mouse)	468
Q08369	Q08369	GATA4_MOUSE	reviewed	Transcription factor GATA-4 (GATA-binding factor 4)	Gata4 Gata-4	Mus musculus (Mouse)	441
Q60929	Q60929	MEF2A_MOUSE	reviewed	Myocyte-specific enhancer factor 2A	Mef2a	Mus musculus (Mouse)	498
P42582	P42582	NKX25_MOUSE	reviewed	Homeobox protein Nkx-2.5 (Cardiac-specific homeobox) (Homeobox protein CSX) (Homeobox protein NK-2 homolog E)	Nkx2-5 Csx Nkx-2.5 Nkx2e	Mus musculus (Mouse)	318
P70326	P70326	TBX5_MOUSE	reviewed	T-box transcription factor TBX5 (T-box protein 5)	Tbx5	Mus musculus (Mouse)	518
P24699	P24699	MYF5_MOUSE	reviewed	Myogenic factor 5 (Myf-5)	Myf5 Myf-5	Mus musculus (Mouse)	255
Q02085	Q02085	SNAI1_MOUSE	reviewed	Zinc finger protein SNAI1 (Protein snail homolog 1) (Protein sna)	Snai1 Sna	Mus musculus (Mouse)	264
P47239	P47239	PAX7_MOUSE	reviewed	Paired box protein Pax-7	Pax7 Pax-7	Mus musculus (Mouse)	503
P24610	P24610	PAX3_MOUSE	reviewed	Paired box protein Pax-3	Pax3 Pax-3	Mus musculus (Mouse)	479
Q9WU42	Q9WU42	NCOR2_MOUSE	reviewed	Nuclear receptor corepressor 2 (N-CoR2) (Silencing mediator of retinoic acid and thyroid hormone receptor) (SMRT) (SMRTe) (T3 receptor-associating factor) (TRAC) (Thyroid-, retinoic-acid-receptor-associated corepressor)	Ncor2 Smrt	Mus musculus (Mouse)	2472
Q00417	Q00417	TCF7_MOUSE	reviewed	Transcription factor 7 (TCF-7) (T-cell-specific transcription factor 1) (T-cell factor 1) (TCF-1)	Tcf7 Tcf-1 Tcf1	Mus musculus (Mouse)	419
P50481	P50481	LHX3_MOUSE	reviewed	LIM/homeobox protein Lhx3 (LIM homeobox protein 3) (Homeobox protein LIM-3) (Homeobox protein P-LIM)	Lhx3 Lim-3 Lim3 Plim	Mus musculus (Mouse)	400
P61372	P61372	ISL1_MOUSE	reviewed	Insulin gene enhancer protein ISL-1 (Islet-1)	Isl1	Mus musculus (Mouse)	349
Q62066	Q62066	PHX2A_MOUSE	reviewed	Paired mesoderm homeobox protein 2A (Aristaless homeobox protein homolog) (PHOX2A homeodomain protein) (Paired-like homeobox 2A)	Phox2a Arix Phox2 Pmx2 Pmx2a	Mus musculus (Mouse)	280
O08900	O08900	IKZF3_MOUSE	reviewed	Zinc finger protein Aiolos (Ikaros family zinc finger protein 3)	Ikzf3 Zfpn1a3 Znfn1a3	Mus musculus (Mouse)	507
Q03267	Q03267	IKZF1_MOUSE	reviewed	DNA-binding protein Ikaros (Ikaros family zinc finger protein 1) (Lymphoid transcription factor LyF-1)	Ikzf1 Ikaros Lyf1 Zfpn1a1 Znfn1a1	Mus musculus (Mouse)	517
P10284	P10284	HXB4_MOUSE	reviewed	Homeobox protein Hox-B4 (Homeobox protein Hox-2.6)	Hoxb4 Hox-2.6 Hoxb-4	Mus musculus (Mouse)	250
Q60674	Q60674	NR1D2_MOUSE	reviewed	Nuclear receptor subfamily 1 group D member 2 (Orphan nuclear receptor RVR) (Rev-erb-beta)	Nr1d2	Mus musculus (Mouse)	576
P49698	P49698	HNF4A_MOUSE	reviewed	Hepatocyte nuclear factor 4-alpha (HNF-4-alpha) (Nuclear receptor subfamily 2 group A member 1) (Transcription factor 14) (TCF-14) (Transcription factor HNF-4)	Hnf4a Hnf-4 Hnf4 Nr2a1 Tcf14	Mus musculus (Mouse)	474
Q00175	Q00175	PRGR_MOUSE	reviewed	Progesterone receptor (PR) (Nuclear receptor subfamily 3 group C member 3)	Pgr Nr3c3 Pr	Mus musculus (Mouse)	926
P41230	P41230	KDM5C_MOUSE	reviewed	Lysine-specific demethylase 5C (EC 1.14.11.67) (Histone demethylase JARID1C) (Jumonji/ARID domain-containing protein 1C) (Protein SmcX) (Protein Xe169) ([histone H3]-trimethyl-L-lysine(4) demethylase 5C)	Kdm5c Jarid1c Kiaa0234 Smcx Xe169	Mus musculus (Mouse)	1554
Q8CB76	Q8CB76	Q8CB76_MOUSE	unreviewed	Zinc finger protein 449	Zfp449	Mus musculus (Mouse)	518
Q9Z0Y9	Q9Z0Y9	NR1H3_MOUSE	reviewed	Oxysterols receptor LXR-alpha (Liver X receptor alpha) (Nuclear receptor subfamily 1 group H member 3)	Nr1h3 Lxra	Mus musculus (Mouse)	445
P23204	P23204	PPARA_MOUSE	reviewed	Peroxisome proliferator-activated receptor alpha (PPAR-alpha) (Nuclear receptor subfamily 1 group C member 1)	Ppara Nr1c1 Ppar	Mus musculus (Mouse)	468
P35639	P35639	DDIT3_MOUSE	reviewed	DNA damage-inducible transcript 3 protein (DDIT-3) (C/EBP zeta) (C/EBP-homologous protein) (CHOP) (C/EBP-homologous protein 10) (CHOP-10) (CCAAT/enhancer-binding protein homologous protein) (Growth arrest and DNA-damage-inducible protein GADD153)	Ddit3 Chop Chop10 Gadd153	Mus musculus (Mouse)	168
Q06507	Q06507	ATF4_MOUSE	reviewed	Cyclic AMP-dependent transcription factor ATF-4 (cAMP-dependent transcription factor ATF-4) (Activating transcription factor 4) (C/EBP-related ATF) (C/ATF) (Cyclic AMP-responsive element-binding protein 2) (CREB-2) (cAMP-responsive element-binding protein 2)	Atf4 Creb2	Mus musculus (Mouse)	349
P97436	P97436	NKX31_MOUSE	reviewed	Homeobox protein Nkx-3.1 (Homeobox protein NK-3 homolog A)	Nkx3-1 Nkx-3.1 Nkx3a	Mus musculus (Mouse)	237
P70298	P70298	CUX2_MOUSE	reviewed	Homeobox protein cut-like 2 (Homeobox protein Cux-2)	Cux2 Cutl2	Mus musculus (Mouse)	1426
P30561	P30561	AHR_MOUSE	reviewed	Aryl hydrocarbon receptor (Ah receptor) (AhR)	Ahr	Mus musculus (Mouse)	848
Q99K36	Q99K36	Q99K36_MOUSE	unreviewed	Protein C-ets-2	Ets2	Mus musculus (Mouse)	468
Q61221	Q61221	HIF1A_MOUSE	reviewed	Hypoxia-inducible factor 1-alpha (HIF-1-alpha) (HIF1-alpha) (ARNT-interacting protein)	Hif1a	Mus musculus (Mouse)	836
P15314	P15314	IRF1_MOUSE	reviewed	Interferon regulatory factor 1 (IRF-1)	Irf1	Mus musculus (Mouse)	329
P09450	P09450	JUNB_MOUSE	reviewed	Transcription factor jun-B (MyD21)	Junb Jun-b	Mus musculus (Mouse)	344
O54791	O54791	MAFF_MOUSE	reviewed	Transcription factor MafF (V-maf musculoaponeurotic fibrosarcoma oncogene homolog F)	Maff	Mus musculus (Mouse)	156
Q04863	Q04863	RELB_MOUSE	reviewed	Transcription factor RelB	Relb	Mus musculus (Mouse)	558
Q60765	Q60765	ATF3_MOUSE	reviewed	Cyclic AMP-dependent transcription factor ATF-3 (cAMP-dependent transcription factor ATF-3) (Activating transcription factor 3) (Transcription factor LRG-21)	Atf3	Mus musculus (Mouse)	181
P15307	P15307	REL_MOUSE	reviewed	Proto-oncogene c-Rel	Rel	Mus musculus (Mouse)	587
P08046	P08046	EGR1_MOUSE	reviewed	Early growth response protein 1 (EGR-1) (Nerve growth factor-induced protein A) (NGFI-A) (Transcription factor Zif268) (Zinc finger protein Krox-24)	Egr1 Egr-1 Krox-24	Mus musculus (Mouse)	533
P23906	P23906	IRF2_MOUSE	reviewed	Interferon regulatory factor 2 (IRF-2)	Irf2	Mus musculus (Mouse)	349
P25799	P25799	NFKB1_MOUSE	reviewed	Nuclear factor NF-kappa-B p105 subunit (DNA-binding factor KBF1) (EBP-1) (NF-kappa-B1 p84/NF-kappa-B1 p98) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1) [Cleaved into: Nuclear factor NF-kappa-B p50 subunit]	Nfkb1	Mus musculus (Mouse)	971
Q9WVL2	Q9WVL2	STAT2_MOUSE	reviewed	Signal transducer and activator of transcription 2	Stat2	Mus musculus (Mouse)	923
P22227	P22227	ZFP42_MOUSE	reviewed	Zinc finger protein 42 (Zfp-42) (Reduced expression protein 1) (REX-1) (mREX-1)	Zfp42 Rex-1 Rex1	Mus musculus (Mouse)	288
Q62296	Q62296	TEAD4_MOUSE	reviewed	Transcriptional enhancer factor TEF-3 (ETF-related factor 2) (ETFR-2) (TEA domain family member 4) (TEAD-4) (TEF-1-related factor 1) (TEF-1-related factor FR-19) (RTEF-1)	Tead4 Tcf13r1 Tef3 Tefr1	Mus musculus (Mouse)	427
P38532	P38532	HSF1_MOUSE	reviewed	Heat shock factor protein 1 (HSF 1) (Heat shock transcription factor 1) (HSTF 1)	Hsf1	Mus musculus (Mouse)	525
P63058	P63058	THA_MOUSE	reviewed	Thyroid hormone receptor alpha (Nuclear receptor subfamily 1 group A member 1) (c-erbA-1) (c-erbA-alpha)	Thra C-erba-alpha Nr1a1	Mus musculus (Mouse)	492
P37242	P37242	THB_MOUSE	reviewed	Thyroid hormone receptor beta (Nuclear receptor subfamily 1 group A member 2) (c-erbA-2) (c-erbA-beta)	Thrb Erba2 Nr1a2	Mus musculus (Mouse)	461
P23611	P23611	IRF8_MOUSE	reviewed	Interferon regulatory factor 8 (IRF-8) (Interferon consensus sequence-binding protein) (ICSBP)	Irf8 Icsbp Icsbp1	Mus musculus (Mouse)	424
O89090	O89090	SP1_MOUSE	reviewed	Transcription factor Sp1 (Specificity protein 1)	Sp1	Mus musculus (Mouse)	784
Q64092	Q64092	TFE3_MOUSE	reviewed	Transcription factor E3 (mTFE3)	Tfe3 Tcfe3	Mus musculus (Mouse)	572
Q62232	Q62232	SIX2_MOUSE	reviewed	Homeobox protein SIX2 (Sine oculis homeobox homolog 2)	Six2	Mus musculus (Mouse)	296
P97460	P97460	NPAS2_MOUSE	reviewed	Neuronal PAS domain-containing protein 2 (Neuronal PAS2)	Npas2	Mus musculus (Mouse)	816
Q99JB6	Q99JB6	FOXP3_MOUSE	reviewed	Forkhead box protein P3 (Scurfin) [Cleaved into: Forkhead box protein P3, C-terminally processed; Forkhead box protein P3 41 kDa form]	Foxp3	Mus musculus (Mouse)	429
Q60775	Q60775	ELF1_MOUSE	reviewed	ETS-related transcription factor Elf-1 (E74-like factor 1)	Elf1	Mus musculus (Mouse)	612
Q99MA9	Q99MA9	NKX61_MOUSE	reviewed	Homeobox protein Nkx-6.1 (Homeobox protein NK-6 homolog A)	Nkx6-1 Nkx6.1 Nkx6a	Mus musculus (Mouse)	365
P63015	P63015	PAX6_MOUSE	reviewed	Paired box protein Pax-6 (Oculorhombin)	Pax6 Pax-6 Sey	Mus musculus (Mouse)	422
P97360	P97360	ETV6_MOUSE	reviewed	Transcription factor ETV6 (ETS translocation variant 6) (ETS-related protein Tel1) (Tel)	Etv6 Tel Tel1	Mus musculus (Mouse)	485
P70314	P70314	PITX1_MOUSE	reviewed	Pituitary homeobox 1 (Hindlimb-expressed homeobox protein backfoot) (Homeobox protein P-OTX) (Homeobox protein PITX1) (Paired-like homeodomain transcription factor 1) (Pituitary OTX-related factor)	Pitx1 Bft Potx Ptx1	Mus musculus (Mouse)	315
P47806	P47806	GLI1_MOUSE	reviewed	Zinc finger protein GLI1 (Glioma-associated oncogene homolog)	Gli1 Gli	Mus musculus (Mouse)	1111
O54839	O54839	EOMES_MOUSE	reviewed	Eomesodermin homolog (T-box brain protein 2) (T-brain-2) (TBR-2)	Eomes Tbr2	Mus musculus (Mouse)	707
Q8VDK3	Q8VDK3	ELF5_MOUSE	reviewed	ETS-related transcription factor Elf-5 (E74-like factor 5)	Elf5	Mus musculus (Mouse)	253
P97863	P97863	NFIB_MOUSE	reviewed	Nuclear factor 1 B-type (NF1-B) (Nuclear factor 1/B) (CCAAT-box-binding transcription factor) (CTF) (Nuclear factor I/B) (NF-I/B) (NFI-B) (TGGCA-binding protein)	Nfib	Mus musculus (Mouse)	570
P70459	P70459	ERF_MOUSE	reviewed	ETS domain-containing transcription factor ERF	Erf	Mus musculus (Mouse)	551
Q63943	Q63943	MEF2D_MOUSE	reviewed	Myocyte-specific enhancer factor 2D	Mef2d	Mus musculus (Mouse)	514
P50220	P50220	NKX21_MOUSE	reviewed	Homeobox protein Nkx-2.1 (Thyroid nuclear factor 1) (Thyroid transcription factor 1) (TTF-1) (Thyroid-specific enhancer-binding protein) (T/EBP)	Nkx2-1 Nkx-2.1 Titf1 Ttf1	Mus musculus (Mouse)	372
P47930	P47930	FOSL2_MOUSE	reviewed	Fos-related antigen 2 (FRA-2)	Fosl2 Fra-2 Fra2	Mus musculus (Mouse)	326
O08580	O08580	ERR1_MOUSE	reviewed	Steroid hormone receptor ERR1 (Estrogen receptor-like 1) (Estrogen-related receptor alpha) (ERR-alpha) (Nuclear receptor subfamily 3 group B member 1)	Esrra Err1 Estrra Nr3b1	Mus musculus (Mouse)	422
Q9Z2S7	Q9Z2S7	T22D3_MOUSE	reviewed	TSC22 domain family protein 3 (Glucocorticoid-induced leucine zipper protein) (TSC22-related-inducible leucine zipper 3) (Tilz3)	Tsc22d3 Dsip1 Dsipi Gilz	Mus musculus (Mouse)	137
Q60980	Q60980	KLF3_MOUSE	reviewed	Krueppel-like factor 3 (Basic krueppel-like factor) (CACCC-box-binding protein BKLF) (TEF-2)	Klf3 Bklf	Mus musculus (Mouse)	344
Q8BZ89	Q8BZ89	ZN322_MOUSE	reviewed	Zinc finger protein 322 (Zinc finger protein 322A)	Znf322 Zfp322a Znf322a	Mus musculus (Mouse)	410
P97303	P97303	BACH2_MOUSE	reviewed	Transcription regulator protein BACH2 (BTB and CNC homolog 2)	Bach2	Mus musculus (Mouse)	839
P43135	P43135	COT2_MOUSE	reviewed	COUP transcription factor 2 (COUP-TF2) (Apolipoprotein AI regulatory protein 1) (ARP-1) (COUP transcription factor II) (COUP-TF II) (Nuclear receptor subfamily 2 group F member 2)	Nr2f2 Aporp1 Arp-1 Arp1 Tfcoup2	Mus musculus (Mouse)	414
P34056	P34056	AP2A_MOUSE	reviewed	Transcription factor AP-2-alpha (AP2-alpha) (AP-2 transcription factor) (Activating enhancer-binding protein 2-alpha) (Activator protein 2) (AP-2)	Tfap2a Ap2tf Tcfap2a	Mus musculus (Mouse)	437
Q60636	Q60636	PRDM1_MOUSE	reviewed	PR domain zinc finger protein 1 (EC 2.1.1.-) (B lymphocyte-induced maturation protein 1) (Blimp-1) (Beta-interferon gene positive regulatory domain I-binding factor) (PR domain-containing protein 1)	Prdm1 Blimp1	Mus musculus (Mouse)	856
Q80V63	Q80V63	PRDM4_MOUSE	reviewed	PR domain zinc finger protein 4 (EC 2.1.1.-) (PR domain-containing protein 4)	Prdm4	Mus musculus (Mouse)	803
Q64131	Q64131	RUNX3_MOUSE	reviewed	Runt-related transcription factor 3 (Acute myeloid leukemia 2 protein) (Core-binding factor subunit alpha-3) (CBF-alpha-3) (Oncogene AML-2) (Polyomavirus enhancer-binding protein 2 alpha C subunit) (PEA2-alpha C) (PEBP2-alpha C) (SL3-3 enhancer factor 1 alpha C subunit) (SL3/AKV core-binding factor alpha C subunit)	Runx3 Aml2 Cbfa3 Pebp2a3	Mus musculus (Mouse)	409
P20293	P20293	TBXT_MOUSE	reviewed	T-box transcription factor T (Brachyury protein) (Protein T)	Tbxt T	Mus musculus (Mouse)	436
Q61312	Q61312	AP2C_MOUSE	reviewed	Transcription factor AP-2 gamma (AP2-gamma) (AP-2.2) (Activating enhancer-binding protein 2 gamma)	Tfap2c Tcfap2c	Mus musculus (Mouse)	449
Q9CXE0	Q9CXE0	PRDM5_MOUSE	reviewed	PR domain zinc finger protein 5 (EC 2.1.1.-) (PR domain-containing protein 5)	Prdm5	Mus musculus (Mouse)	599
O88942	O88942	NFAC1_MOUSE	reviewed	Nuclear factor of activated T-cells, cytoplasmic 1 (NF-ATc1) (NFATc1) (NFAT transcription complex cytosolic component) (NF-ATc) (NFATc)	Nfatc1 Nfat2 Nfatc	Mus musculus (Mouse)	717
P54103	P54103	DNJC2_MOUSE	reviewed	DnaJ homolog subfamily C member 2 (Mouse Id associate 1) (MIDA1) (Zuotin-related factor 1)	Dnajc2 Mida1 Zrf1	Mus musculus (Mouse)	621
Q91ZW3	Q91ZW3	SMCA5_MOUSE	reviewed	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 (EC 3.6.4.-) (Sucrose nonfermenting protein 2 homolog) (mSnf2h)	Smarca5 Snf2h	Mus musculus (Mouse)	1051
P22605	P22605	RARB_MOUSE	reviewed	Retinoic acid receptor beta (RAR-beta) (Nuclear receptor subfamily 1 group B member 2)	Rarb Nr1b2	Mus musculus (Mouse)	482
P80206	P80206	OTX2_MOUSE	reviewed	Homeobox protein OTX2 (Orthodenticle homolog 2)	Otx2 Otx-2	Mus musculus (Mouse)	289
Q04887	Q04887	SOX9_MOUSE	reviewed	Transcription factor SOX-9 (mSox9)	Sox9 Sox-9	Mus musculus (Mouse)	507
P21952	P21952	PO3F1_MOUSE	reviewed	POU domain, class 3, transcription factor 1 (Octamer-binding protein 6) (Oct-6) (Octamer-binding transcription factor 6) (OTF-6) (POU domain transcription factor SCIP)	Pou3f1 Oct6 Otf-6 Otf6 Scip	Mus musculus (Mouse)	449
P41969	P41969	ELK1_MOUSE	reviewed	ETS domain-containing protein Elk-1	Elk1	Mus musculus (Mouse)	429
P41158	P41158	ELK4_MOUSE	reviewed	ETS domain-containing protein Elk-4 (Serum response factor accessory protein 1) (SAP-1) (SRF accessory protein 1)	Elk4 Sap1	Mus musculus (Mouse)	430
P41971	P41971	ELK3_MOUSE	reviewed	ETS domain-containing protein Elk-3 (ETS-related protein ERP) (ETS-related protein NET)	Elk3 Erp Net	Mus musculus (Mouse)	409
P70365	P70365	NCOA1_MOUSE	reviewed	Nuclear receptor coactivator 1 (NCoA-1) (EC 2.3.1.48) (Nuclear receptor coactivator protein 1) (mNRC-1) (Steroid receptor coactivator 1) (SRC-1)	Ncoa1 Src1	Mus musculus (Mouse)	1447
Q61026	Q61026	NCOA2_MOUSE	reviewed	Nuclear receptor coactivator 2 (NCoA-2) (Glucocorticoid receptor-interacting protein 1) (GRIP-1) (Steroid receptor coactivator 2) (SRC-2) (Transcriptional intermediary factor 2)	Ncoa2 Grip1 Src2 Tif2	Mus musculus (Mouse)	1462
Q6PDG5	Q6PDG5	SMRC2_MOUSE	reviewed	SWI/SNF complex subunit SMARCC2 (BRG1-associated factor 170) (BAF170) (SWI/SNF complex 170 kDa subunit) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily C member 2)	Smarcc2 Baf170	Mus musculus (Mouse)	1213
Q08775	Q08775	RUNX2_MOUSE	reviewed	Runt-related transcription factor 2 (Acute myeloid leukemia 3 protein) (Core-binding factor subunit alpha-1) (CBF-alpha-1) (Oncogene AML-3) (Osteoblast-specific transcription factor 2) (OSF-2) (Polyomavirus enhancer-binding protein 2 alpha A subunit) (PEA2-alpha A) (PEBP2-alpha A) (SL3-3 enhancer factor 1 alpha A subunit) (SL3/AKV core-binding factor alpha A subunit)	Runx2 Aml3 Cbfa1 Osf2 Pebp2a	Mus musculus (Mouse)	607
Q60821	Q60821	ZBT17_MOUSE	reviewed	Zinc finger and BTB domain-containing protein 17 (LP-1) (Polyomavirus late initiator promoter-binding protein) (Zinc finger protein 100) (Zfp-100) (Zinc finger protein 151) (Zinc finger protein Z13)	Zbtb17 Zfp100 Znf151	Mus musculus (Mouse)	794
Q9ESP5	Q9ESP5	FEZF2_MOUSE	reviewed	Fez family zinc finger protein 2 (Forebrain embryonic zinc finger-like protein 2) (Zinc finger protein 312) (Zinc finger protein Fez-like)	Fezf2 Fez Fezl Zfp312	Mus musculus (Mouse)	455
Q61079	Q61079	SIM2_MOUSE	reviewed	Single-minded homolog 2 (SIM transcription factor) (mSIM)	Sim2	Mus musculus (Mouse)	657
P54843	P54843	MAF_MOUSE	reviewed	Transcription factor Maf (Proto-oncogene c-Maf) (V-maf musculoaponeurotic fibrosarcoma oncogene homolog)	Maf Maf2	Mus musculus (Mouse)	370
Q08874	Q08874	MITF_MOUSE	reviewed	Microphthalmia-associated transcription factor	Mitf Bw Mi Vit	Mus musculus (Mouse)	526
P01101	P01101	FOS_MOUSE	reviewed	Proto-oncogene c-Fos (Cellular oncogene fos)	Fos	Mus musculus (Mouse)	380
Q9WTN3	Q9WTN3	SRBP1_MOUSE	reviewed	Sterol regulatory element-binding protein 1 (SREBP-1) (Sterol regulatory element-binding transcription factor 1) [Cleaved into: Processed sterol regulatory element-binding protein 1 (Transcription factor SREBF1)]	Srebf1 Srebp1	Mus musculus (Mouse)	1134
Q9Z0Z7	Q9Z0Z7	KLF5_MOUSE	reviewed	Krueppel-like factor 5 (Basic transcription element-binding protein 2) (BTE-binding protein 2) (Intestinal-enriched krueppel-like factor) (Transcription factor BTEB2)	Klf5 Bteb2 Iklf	Mus musculus (Mouse)	446
Q06831	Q06831	SOX4_MOUSE	reviewed	Transcription factor SOX-4	Sox4 Sox-4	Mus musculus (Mouse)	440
Q9WU00	Q9WU00	NRF1_MOUSE	reviewed	Nuclear respiratory factor 1 (NRF-1) (Alpha palindromic-binding protein) (Alpha-pal)	Nrf1	Mus musculus (Mouse)	503
P48281	P48281	VDR_MOUSE	reviewed	Vitamin D3 receptor (VDR) (1,25-dihydroxyvitamin D3 receptor) (Nuclear receptor subfamily 1 group I member 1)	Vdr Nr1i1	Mus musculus (Mouse)	422
Q9D1P2	Q9D1P2	KAT8_MOUSE	reviewed	Histone acetyltransferase KAT8 (EC 2.3.1.48) (Lysine acetyltransferase 8) (MOZ, YBF2/SAS3, SAS2 and TIP60 protein 1) (MYST-1)	Kat8 Mof Myst1	Mus musculus (Mouse)	458
O08537	O08537	ESR2_MOUSE	reviewed	Estrogen receptor beta (ER-beta) (Nuclear receptor subfamily 3 group A member 2)	Esr2 Estrb Nr3a2	Mus musculus (Mouse)	530
Q8CIV7	Q8CIV7	OVOL2_MOUSE	reviewed	Transcription factor Ovo-like 2 (mOvo2) (Zinc finger OVO2) (Zinc finger protein 339) (Zinc finger protein mOVO)	Ovol2 Ovo2 Zfp339 Znf339	Mus musculus (Mouse)	274
P48301	P48301	TEAD2_MOUSE	reviewed	Transcriptional enhancer factor TEF-4 (ETEF-1) (Embryonic TEA domain-containing factor) (ETF) (TEA domain family member 2) (TEAD-2)	Tead2 Etdf Etf Tef4	Mus musculus (Mouse)	445
P51450	P51450	RORG_MOUSE	reviewed	Nuclear receptor ROR-gamma (Nuclear receptor RZR-gamma) (Nuclear receptor subfamily 1 group F member 3) (RAR-related orphan receptor C) (Retinoid-related orphan receptor-gamma) (Thymus orphan receptor) (TOR)	Rorc Nr1f3 Rorg Thor	Mus musculus (Mouse)	516
P16951	P16951	ATF2_MOUSE	reviewed	Cyclic AMP-dependent transcription factor ATF-2 (cAMP-dependent transcription factor ATF-2) (Activating transcription factor 2) (MXBP protein) (cAMP response element-binding protein CRE-BP1)	Atf2	Mus musculus (Mouse)	487
Q8R0S1	Q8R0S1	ATF7_MOUSE	reviewed	Cyclic AMP-dependent transcription factor ATF-7 (cAMP-dependent transcription factor ATF-7) (Activating transcription factor 7) (Transcription factor ATF-A)	Atf7	Mus musculus (Mouse)	413
O54915	O54915	NR1I2_MOUSE	reviewed	Nuclear receptor subfamily 1 group I member 2 (Orphan nuclear receptor PXR) (Pregnane X receptor)	Nr1i2 Pxr	Mus musculus (Mouse)	431
Q9JIZ5	Q9JIZ5	Q9JIZ5_MOUSE	unreviewed	Activator protein 4 (Transcription factor AP4)	Tfap4 Ap4 Tcfap4	Mus musculus (Mouse)	338
P22561	P22561	WT1_MOUSE	reviewed	Wilms tumor protein homolog	Wt1 Wt-1	Mus musculus (Mouse)	449
P26687	P26687	TWST1_MOUSE	reviewed	Twist-related protein 1 (M-twist)	Twist1 Twist	Mus musculus (Mouse)	206
Q63ZV0	Q63ZV0	INSM1_MOUSE	reviewed	Insulinoma-associated protein 1 (Zinc finger protein IA-1)	Insm1 Ia1	Mus musculus (Mouse)	521
Q9JK54	Q9JK54	MSGN1_MOUSE	reviewed	Mesogenin-1 (Paraxial mesoderm-specific mesogenin1) (pMesogenin1) (pMsgn1)	Msgn1	Mus musculus (Mouse)	188
P70284	P70284	TGIF1_MOUSE	reviewed	Homeobox protein TGIF1 (5'-TG-3'-interacting factor 1)	Tgif1 Tgif	Mus musculus (Mouse)	272
P97503	P97503	NKX32_MOUSE	reviewed	Homeobox protein Nkx-3.2 (Bagpipe homeobox protein homolog 1) (Homeobox protein NK-3 homolog B)	Nkx3-2 Bapx1 Nkx-3.2 Nkx3b	Mus musculus (Mouse)	333
Q62521	Q62521	ZIC3_MOUSE	reviewed	Zinc finger protein ZIC 3 (Zinc finger protein of the cerebellum 3)	Zic3	Mus musculus (Mouse)	466
P62509	P62509	ERR3_MOUSE	reviewed	Estrogen-related receptor gamma (Estrogen receptor-related protein 3) (Nuclear receptor subfamily 3 group B member 3)	Esrrg Err3 Kiaa0832 Nr3b3	Mus musculus (Mouse)	458
